bullet_type,caliber,gun_type,velocity,mass,rifling_twist,target_material,distance,damage_level
ELD-M,11.1,FN Five-seveN,300.0,11.31,12.24,Wood,11.0,67
Black Talon,7.97,SCAR-L,542.08,9.81,6.82,Rubber,5.0,61
Hydra-Shok,11.22,M16,456.43,2.0,10.64,Brick,25.0,35
EFMJ,11.59,M16,461.72,10.3,7.88,Water,1.0,74
AMAX,7.04,Smith & Wesson M&P,311.27,12.84,11.7,Wood,12.0,61
PolyCase ARX,11.53,Beretta 92FS,300.0,4.89,11.53,Concrete,12.0,38
ELD-M,11.8,M4 Carbine,386.55,12.65,9.92,Concrete,2.0,35
Gold Dot,5.0,Smith & Wesson M&P,609.07,11.62,10.59,Kevlar,6.0,20
PowerBond,9.88,Mossberg 500,486.12,5.18,8.18,Kevlar,6.0,16
EFMJ,7.48,HK USP,856.63,5.89,11.68,Concrete,45.0,17
EFMJ,12.91,Springfield XD,486.9,4.15,10.8,Wood,14.0,51
AccuBond,7.45,Smith & Wesson M&P,538.98,12.24,9.9,Sand,22.0,52
PolyCase ARX,5.0,Winchester Model 70,503.32,5.26,8.44,Kevlar,1.0,28
AP,8.91,FN Five-seveN,300.0,5.34,10.19,Wood,2.0,74
AMAX,6.31,Walther PPQ,495.71,7.06,9.25,Glass,17.0,79
AccuBond,11.55,AR-15,300.0,3.49,11.58,Wood,36.0,58
SP,6.57,Remington 870,486.3,9.96,13.28,Rubber,1.0,44
Extreme Point,8.95,HK416,300.0,6.81,11.32,Brick,82.0,32
PolyCase ARX,13.64,Ruger SR9,486.11,12.39,9.29,Brick,43.0,23
JHP,12.3,Beretta 92FS,529.61,11.41,12.91,Brick,41.0,12
AccuBond,10.43,Sig Sauer P320,544.02,14.52,9.2,Rubber,1.0,76
Critical Defense,8.62,AK-47,300.0,2.0,10.57,Ceramic,10.0,12
V-MAX,10.15,HK416,596.14,2.89,9.17,Sand,32.0,30
JHP,11.07,Sig Sauer P320,631.8,8.01,10.04,Rubber,28.0,48
PolyCase ARX,6.04,Ruger SR9,308.37,8.47,6.53,Kevlar,8.0,16
FMJ,11.55,FN Five-seveN,697.07,6.84,7.6,Rubber,42.0,31
Critical Defense,5.69,Colt 1911,537.74,14.56,9.87,Brick,20.0,33
Extreme Point,10.72,AK-47,487.96,6.4,10.59,Concrete,100.0,5
Critical Defense,5.68,CZ 75,613.57,9.87,9.72,Brick,8.0,19
Partition,14.89,CZ 75,824.29,9.35,11.74,Sand,21.0,48
HST,11.29,M4 Carbine,471.84,5.58,6.0,Ceramic,11.0,20
TMJ,5.0,Smith & Wesson M&P,401.2,9.86,10.95,Concrete,21.0,23
Ranger T-Series,9.0,HK416,916.13,7.98,12.65,Kevlar,6.0,19
Hydra-Shok,7.44,Ruger SR9,465.42,12.95,11.55,Water,10.0,57
Hydra-Shok,7.08,Colt 1911,573.33,12.65,11.33,Rubber,54.0,50
Gold Dot,9.44,Mossberg 500,465.33,2.0,11.99,Ceramic,7.0,24
Critical Defense,6.22,AR-15,300.0,2.0,7.58,Metal,19.0,29
PowerBond,11.28,Smith & Wesson M&P,438.5,7.42,7.57,Glass,50.0,52
Black Talon,11.11,Beretta 92FS,722.24,11.45,9.37,Wood,13.0,75
Partition,10.05,AR-15,338.04,8.49,9.79,Glass,24.0,97
SP,8.94,Remington 870,763.66,9.66,10.37,Metal,28.0,32
BT,10.98,SCAR-L,652.73,19.16,7.59,Brick,16.0,28
Gold Dot,11.37,Remington 870,300.0,5.51,9.48,Ceramic,10.0,31
ELD-M,10.36,Walther PPQ,300.0,9.77,11.93,Concrete,33.0,12
PolyCase ARX,5.06,M4 Carbine,300.0,8.66,9.29,Brick,16.0,37
BTHP,6.63,SCAR-L,418.27,11.44,6.8,Glass,2.0,93
ELD-M,8.2,M4 Carbine,300.0,11.8,6.85,Water,42.0,54
V-Crown,5.0,Barrett M82,743.96,10.22,11.99,Kevlar,7.0,12
AP,9.67,Colt 1911,300.0,13.6,12.96,Concrete,14.0,9
Partition,13.23,Glock 17,321.66,13.36,8.45,Ceramic,5.0,13
